# 13 L0 dwarfs used for template construction because
# reduced chi2 < 2.00000 in all bands (but not full spectrum)
# Name	J chi2	H chi2	K chi2
spex_prism_0230+2704_080907 	0.426484	0.367041	0.426484       2
spex_prism_0746+2000_U10668 	0.838546	1.13353	0.838546       2
spex_prism_1404+4634_080713 	0.514816	0.675077	0.514816       2
spex_prism_1421+1827_080730 	0.845892	0.883256	0.845892       2
spex_prism_1707+4301_080908 	0.700523	1.49326	0.700523       2
spex_prism_2310-1759_080714 	0.550180	0.828337	0.550180       2
U10125_0239-1735 	1.79307	1.04594	1.79307       2
U20156_0314+1603 	0.619489	1.16367	0.619489       2
U20448_1232-0951 	1.47260	1.09367	1.47260       2
U50078_0652-2534_090125 	1.06124	1.40873	1.06124       2
U50184_1022+4114_HD89744B_BUR08B 	0.645216	0.311235	0.645216       2
U51421_1636-0034 	1.85311	0.778349	1.85311       2
U51700_2331+1552 	0.895974	1.02759	0.895974       2
