# 9 L1 dwarfs rejected from template construction because 
# reduced chi2 > 2.00000 in any band (but not full spectrum)
# Name	J chi2	H chi2	K chi2
spex_prism_0219-1938_080908 	7.78105	3.66682	3.32463
U10102 	4.59674	4.93072	4.07203
U11115_1300+1912 	8.70838	57.7608	5.27776
U12054_2057-0252 	1.91225	7.09090	4.42844
U20336_0921-2104 	8.46276	103.140	5.10970
U20581_1439+1929_ajb 	4.02703	5.24078	1.96718
U20812 	1.46516	7.13858	1.61596
U50080_0751-2530 	3.71781	13.1849	1.09503
U51218_1440-1303_KIR10A 	9.46587	4.93710	6.87558
