# 15 L5 dwarfs used for template construction because
# reduced chi2 < 2.00000 in all bands (but not full spectrum)
# Name	J chi2	H chi2	K chi2
spex_prism_1228-1547_080114 	1.43228	1.62372	1.43228       2
spex_prism_2137+0808_U20909 	0.524537	0.482057	0.524537       2
spex_prism_lhs102bc_040907 	0.757340	0.701236	0.757340       2
spex_prism_u13076_060820 	0.889559	0.314605	0.889559       2
U10170_0310-2756 	1.23114	0.490339	1.23114       2
U10601 	0.456215	1.27939	0.456215       2
U10742 	0.543625	1.31957	0.543625       2
U11163_1343+3945 	1.11551	1.23747	1.11551       2
U13209 	1.00482	1.16002	1.00482       2
U20175_0358-4116 	1.94436	1.15797	1.94436       2
U20244 	1.48800	0.238755	1.48800       2
U20329_0905+5623 	0.830050	0.892264	0.830050       2
U20752 	0.918149	1.79858	0.918149       2
U20936 	0.788481	0.599142	0.788481       2
U51204_1438+5722 	1.01506	1.29605	1.01506       2
