# 14 L3 dwarfs used for template construction because
# reduced chi2 < 2.00000 in all bands (but not full spectrum)
# Name	J chi2	H chi2	K chi2
2M0036 	1.00093	1.74264	1.00093       2
spex_prism_0823+2428_080110 	0.989060	1.41962	0.989060       2
spex_prism_1146+2230_080112 	0.381446	0.107068	0.381446       2
spex_prism_1645+3004_080713 	1.03601	1.17986	1.03601       2
spex_prism_2036+1051_080729 	0.881123	0.428533	0.881123       2
U10107_0218-3133 	0.688484	0.831716	0.688484       2
U10617 	0.648721	0.365342	0.648721       2
U10949 	0.675994	0.380090	0.675994       2
u11291_1506+1321_050323 	0.481962	1.04701	0.481962       2
U13119_0325+2253 	0.627141	0.797294	0.627141       2
U13206_spex-prism_2242+2542_20080712_BUR10A 	0.927372	1.62477	0.927372       2
U20397 	1.89144	1.16441	1.89144       2
U20435 	1.39986	1.64255	1.39986       2
U50246_0034-0706 	1.75014	0.708180	1.75014       2
