# 9 L6 dwarfs used for template construction because
# reduced chi2 < 2.00000 in all bands (but not full spectrum)
# Name	J chi2	H chi2	K chi2
2M0103 	1.63606	1.73480	1.63606       2
spex_prism_2132+1341_051017 	1.11414	1.22493	1.11414       2
U10312 	0.294072	0.301774	0.294072       2
U10770 	1.52487	1.46443	1.52487       2
U10880 	0.930729	0.569695	0.930729       2
U11314 	0.441776	0.517869	0.441776       2
U20335A 	0.413466	0.164791	0.413466       2
U50175_1526+2043_BUR04B 	0.467611	0.240070	0.467611       2
U50933_1118-0856_KIR10A 	1.48553	1.98524	1.48553       2
