# 8 L8 dwarfs used for template construction because
# reduced chi2 < 1.80000 in all bands (but not full spectrum)
# Name	J chi2	H chi2	K chi2
2M1632 	0.949263	1.29418	0.949263       2
spex_prism_0255-4700_adam 	0.724495	0.627344	0.724495       2
spex_prism_0857+5708_080108 	1.32467	1.66279	1.32467       2
U13227 	0.722804	0.412629	0.722804       2
U20139 	0.847960	0.741464	0.847960       2
U50068_Gl584C_20080508_BUR10A 	0.988537	0.370038	0.988537       2
U50176_Gl337CD_20080112_BUR10A 	0.630628	1.10363	0.630628       2
U50188_0328+2302_BUR08B 	1.16941	1.07170	1.16941       2
