# 12 L4 dwarfs used for template construction because
# reduced chi2 < 2.00000 in all bands (but not full spectrum)
# Name	J chi2	H chi2	K chi2
j1821+14prismtcadam 	0.486510	0.893995	0.486510       2
spex_prism_1928-4356_080908 	0.591359	0.629052	0.591359       2
spex_prism_U12091_060821 	0.775098	0.775080	0.775098       2
spex_prism_U20791_060821 	1.66442	0.587395	1.66442       2
U10196_0337-1758 	0.703454	0.372701	0.703454       2
U10954_spex-prism_1104+1959_20030521_BUR04B 	0.713711	1.14132	0.713711       2
U12101_2158-1550_davy 	0.872339	0.510543	0.872339       2
U12128_2224-0158 	0.925465	1.95430	0.925465       2
U13016 	0.654736	0.540968	0.654736       2
U20570 	0.714701	0.922891	0.714701       2
U20994_j2317-4838prismtc1_dagny 	1.53032	1.78216	1.53032       2
U50456_0330-0025 	1.92410	1.50072	1.92410       2
