# 18 L1 dwarfs used for template construction because
# reduced chi2 < 2.30000 in all bands (but not full spectrum)
# Name	J chi2	H chi2	K chi2
spex_prism_0141+1804_080907 	1.79759	0.921363	1.79759       2
spex_prism_0219-1938_080908 	1.74321	1.18819	1.74321       2
spex_prism_2034+0827_U20869 	0.919032	0.738798	0.919032       2
spex_prism_2130-0845_080713 	0.251804	0.699467	0.251804       2
spex_prism_2330-0347_080714 	0.185434	0.224928	0.185434       2
U10102 	1.82173	2.24037	1.82173       2
U10929 	0.631273	0.757169	0.631273       2
U11756_1807+5015 	0.831326	0.342967	0.831326       2
U12054_2057-0252 	1.36948	1.31720	1.36948       2
U12147_2238+4353 	0.557694	0.521311	0.557694       2
U20230_0543+6422 	0.805913	0.676152	0.805913       2
U20236_0602+6336 	0.594963	0.745694	0.594963       2
U20270_0723+5727 	0.545379	1.15038	0.545379       2
U20387 	0.659541	0.185596	0.659541       2
U20581_1439+1929_ajb 	1.52722	0.693256	1.52722       2
U20812 	0.935632	2.01764	0.935632       2
U50080_0751-2530 	1.16745	2.15416	1.16745       2
U50185_GJ1048B_0235-2331_BUR08B 	1.28341	0.701516	1.28341       2
