# 15 L5 dwarfs used for template construction because
# reduced chi2 < 2.00000 in all bands (but not full spectrum)
# Name	J chi2	H chi2	K chi2
spex_prism_1228-1547_080114 	1.52642	1.70899	1.52642       2
spex_prism_2137+0808_U20909 	0.631119	0.549854	0.631119       2
spex_prism_lhs102bc_040907 	0.740887	0.502302	0.740887       2
spex_prism_u13076_060820 	0.797698	0.284067	0.797698       2
U10088_050810 	0.778422	1.86851	0.778422       2
U10170_0310-2756 	1.31204	0.503884	1.31204       2
U10601 	0.438794	1.23481	0.438794       2
U10742 	0.495959	1.12146	0.495959       2
U11163_1343+3945 	1.05131	1.27348	1.05131       2
U13209 	0.903487	0.935693	0.903487       2
U20175_0358-4116 	1.91189	1.08791	1.91189       2
U20244 	1.56724	0.241729	1.56724       2
U20329_0905+5623 	0.991685	0.885157	0.991685       2
U20752 	1.05447	1.80553	1.05447       2
U20936 	0.809536	0.517639	0.809536       2
