Ref	Designation Text	J	H	K	SpType	SpTpye String	IRTF obs	IRTF Tel	IRTF File	Obs	Telescope	Instrument	Filename	Young?	Dusty?	Blue?	Multiple?	Pec?
13061	01 31 18.3 +38 01 55	14.679	13.70	13.054	14	L4:	#Sep-03	IRTF	U13061.fits	Feb-04	KP 4m		U13061_0131+3801.fits	No	No	Yes	No	No
50456	03 30 35.11 -00 25 34.6	15.311	14.42	13.837	14	L4	Adam	IRTF	U50456_0330-0025.fits	SDSS			U50456_SDSS0330-0025.fit	No	No	No	No	No
20179	04 07 07.52 +15 46 45.7	15.478	14.35	13.559	14	L4β	#Nov-04	IRTF	U20179.fits	GN-05B	GN	GMOS	U20179.fits	Yes	No	No	No	No
20198	05 01 24.06 -00 10 45.2	14.982	13.71	12.963	14	L4γ	#Dagny	IRTF	U20198_2M0501-0010_dagny.fits	&GS-05B	GS	GMOS	U20198.fits	Yes	No	No	No	No
10954	11 04 01.2 +19 59 21	14.38	13.48	12.95	14	L4	#Adam	IRTF	U10954_spex-prism_1104+1959_20030521_BUR04B.fits	Jan-02	KP 4m		U10954_1104+1959.fits	No	No	No	No	No
20570	14 28 31.32 +59 23 35.4	14.781	13.88	13.265	14	L4	#Sep-03	IRTF	U20570.fits	GN-04B	GN	GMOS	U20570.fits	No	No	No	No	No
20587	14 48 25.63 +10 31 59.0	14.556	13.43	12.683	14	L4:β	#Mar-05	IRTF	u20587_050323.fits	Apr-03	CT 4m		U20587.fits	Yes	No	No	No	No
20622	15 38 24.17 -19 53 11.6	15.934	14.85	14.004	14	L4γ	Sep-03	IRTF	U20622.fits	July-10	Keck I	LRIS	2MASS1538-1953_tell.fits	Yes	No	No	No	No
20636	15 51 52.37 +09 41 14.8	16.319	15.11	14.31	13	L3γ	July-08	IRTF	spex_prism_U20636_1551+0941_080713.fits	June-10	Keck I	LRIS	2MASS1551+0941_tell.fits	Yes	No	No	No	No
11538	16 15 42.5 +49 53 21	16.789	15.33	14.306	14	L4γ	#Mar-05	IRTF no opt	u11538_050323.fits	June-10	Keck I	LRIS	2MASS1615+4953_tell_3600s.fits	Yes	Yes	No	No	No
20791	18 41 08.61 +31 17 27.9	16.158	14.97	14.22	14	L4:pec	#Aug-06	IRTF	spex_prism_U20791_060821.fits	#Davy	Suburu		U20791_1841+3117_davy.fits	No	No	No	No	Yes
20817	19 28 51.96 -43 56 25.6	15.199	14.13	13.457	14	L4	Adam	IRTF	spex_prism_1928-4356_080908.fits	&GS-05B	GS	GMOS	U20817.fits	No	No	No	No	No
12091	21 51 25.4 -24 41 00	15.752	14.57	13.649	14	L4	#Aug-06	IRTF	spex_prism_U12091_060821.fits	GS-04B	GS	GMOS	U12091.fits	No	No	No	No	No
12096	21 54 34.5 -10 55 30	16.44	15.07	14.199	14	L4γ	Aug-03	IRTF no opt	U12096.fits	Oct-09	Keck I	LRIS	U12096_2154-1055.fits	Yes	Yes	No	No	No
12101	21 58 04.5 -15 50 09	15.04	13.87	13.185	14	L4:	#Davy	IRTF	U12101_2158-1550_davy.fits	Sep-02	KP 4m		U12101_2158-1550.fits	No	No	No	No	No
12113	22 06 44.9 -42 17 20	15.555	14.45	13.609	14	L4γ	Adam	IRTF	spex_prism_2206-4217_080714.fits	known	Keck	LRIS	U12113_lris_170799.fits	Yes	No	No	No	No
40005	22 49 53.45 +00 44 04.6	16.587	15.42	14.358	14	L4γ	#Katelyn	IRTF	U40005_2249+0044_katelyn.fits	Oct-09	Keck I	LRIS	U40005_2249+0044.fits	Yes	No	No	Yes	No
20994	23 17 47.12 -48 38 50.1	15.15	13.93	13.181	14	L4pec	Dagny	IRTF	U20994_j2317-4838prismtc1_dagny.fits	GS-05B	GS	GMOS	U20994.fits	No	Yes	No	No	Yes
10196	03 37 03.6 -17 58 07	15.621	14.41	13.581	14.5	L4.5	Dec-11	IRTF	U10196_0337-1758.fits	known	Keck	LRIS	U10196_j0337-1758_davy.fits	No	No	No	No	No
50062	11 26 39.91 -50 03 55.0	13.997	13.28	12.829	14.5	L4.5blue	Adam	IRTF	spex_prism_1126-5003_061221dl.fits	Adam	Magellan	LDSS-3	U50062_ldss3_1126-5003_060508.fits	No	No	Yes	No	No
