# 14 L0 dwarfs used for template construction because
# reduced chi2 < 2.00000 in all bands (but not full spectrum)
# Name	J chi2	H chi2	K chi2
U20165_0345+2540_new_w 	0.659366	0.786618	0.659366       2
spex_prism_0230+2704_080907 	0.471024	0.394680	0.471024       2
spex_prism_0746+2000_U10668 	0.881308	1.06101	0.881308       2
spex_prism_1404+4634_080713 	0.547691	0.726532	0.547691       2
spex_prism_1421+1827_080730 	0.883612	0.995048	0.883612       2
spex_prism_1707+4301_080908 	0.727757	1.55073	0.727757       2
spex_prism_2310-1759_080714 	0.486441	0.812251	0.486441       2
U10125_0239-1735 	1.84678	1.13146	1.84678       2
U20156_0314+1603 	0.633481	1.16676	0.633481       2
U20448_1232-0951 	1.59727	1.09644	1.59727       2
U50078_0652-2534_090125 	1.06301	1.38511	1.06301       2
U50184_1022+4114_HD89744B_BUR08B 	0.640548	0.290812	0.640548       2
U51421_1636-0034 	1.88943	0.837725	1.88943       2
U51700_2331+1552 	0.903771	1.01544	0.903771       2
